[2026-04-09 08:56:42,083] [INFO] - Starting background scheduler...
[2026-04-09 08:57:52,020] [INFO] - Registered 74 routes
[2026-04-09 08:57:52,021] [INFO] - Starting Psicouja Backend on http://0.0.0.0:8001
[2026-04-09 08:57:54,906] [INFO] - Starting background scheduler...
[2026-04-09 08:58:25,609] [INFO] - Registered 74 routes
[2026-04-09 08:58:25,611] [INFO] - Starting Psicouja Backend on http://0.0.0.0:8001
[2026-04-09 08:58:27,934] [INFO] - Starting background scheduler...
[2026-04-09 08:58:49,094] [INFO] - Registered 74 routes
[2026-04-09 08:58:49,095] [INFO] - Starting Psicouja Backend on http://0.0.0.0:8001
[2026-04-09 08:58:51,890] [INFO] - Starting background scheduler...
[2026-04-09 09:01:25,636] [INFO] - Starting background scheduler...
[2026-04-09 09:01:26,573] [INFO] - Starting background scheduler...
[2026-04-09 09:01:32,344] [INFO] - Starting background scheduler...
[2026-04-09 09:08:31,500] [INFO] - Starting background scheduler...
[2026-04-09 09:08:42,039] [INFO] - Starting background scheduler...
[2026-04-09 09:08:49,079] [INFO] - Starting background scheduler...
[2026-04-09 09:08:59,422] [INFO] - Starting background scheduler...
[2026-04-09 09:09:09,715] [INFO] - Starting background scheduler...
[2026-04-09 09:09:19,990] [INFO] - Starting background scheduler...
[2026-04-09 09:09:26,990] [INFO] - Starting background scheduler...
[2026-04-09 09:09:35,812] [INFO] - Starting background scheduler...
[2026-04-09 09:09:45,844] [INFO] - Starting background scheduler...
[2026-04-09 09:09:54,920] [INFO] - Starting background scheduler...
[2026-04-09 09:10:02,579] [INFO] - Starting background scheduler...
[2026-04-09 09:10:11,790] [INFO] - Starting background scheduler...
[2026-04-09 09:10:23,350] [INFO] - Starting background scheduler...
[2026-04-09 09:10:35,137] [INFO] - Starting background scheduler...
[2026-04-09 09:10:41,672] [INFO] - Starting background scheduler...
[2026-04-09 09:10:56,115] [INFO] - Firebase Admin SDK initialized successfully
[2026-04-09 09:10:56,117] [INFO] - Starting background scheduler...
[2026-04-09 09:11:05,213] [INFO] - Firebase Admin SDK initialized successfully
[2026-04-09 09:11:05,215] [INFO] - Starting background scheduler...
[2026-04-09 09:11:27,594] [INFO] - Firebase Admin SDK initialized successfully
[2026-04-09 09:11:27,596] [INFO] - Starting background scheduler...
[2026-04-09 09:12:01,260] [INFO] - Registered 74 routes
[2026-04-09 09:12:01,261] [INFO] - Starting Psicouja Backend on http://0.0.0.0:8001
[2026-04-09 09:12:03,764] [INFO] - Firebase Admin SDK initialized successfully
[2026-04-09 09:12:03,766] [INFO] - Starting background scheduler...
[2026-04-09 09:12:23,257] [SUCCESS] - Audit: MARK_MESSAGES_READ | PSYCHOLOGIST: John (ID:2) | Details: {"patient_id": 11, "count": 0}
[2026-04-09 09:12:23,282] [SUCCESS] - Audit: MARK_MESSAGES_READ | PSYCHOLOGIST: John (ID:2) | Details: {"patient_id": 11, "count": 0}
[2026-04-09 09:12:31,857] [SUCCESS] - Audit: CREATE_MESSAGE | PSYCHOLOGIST: John (ID:2) | Details: {"patient_id": 11, "is_from_patient": false, "ai_used": false}
[2026-04-09 09:12:31,859] [INFO] - [FIREBASE] send_push_to_patient called for patient 11
[2026-04-09 09:12:31,861] [INFO] - [FIREBASE] Found 0 tokens for patient 11
[2026-04-09 09:12:31,861] [WARNING] - [FIREBASE] No FCM tokens found for patient 11. Notification 'Nuevo Mensaje' will NOT be delivered via push.
[2026-04-09 09:12:31,861] [ERROR] - Error sending notification: cannot unpack non-iterable int object
[2026-04-09 09:14:22,160] [SUCCESS] - Audit: UPDATE_PATIENT_AI_INSTRUCTIONS | PSYCHOLOGIST: John (ID:2) | Details: {"patient_id": 11}
[2026-04-09 09:14:22,184] [SUCCESS] - Audit: CREATE_SESSION | PSYCHOLOGIST: John (ID:2) | Details: {"patient_id": 11, "date": "2026-04-09 07:14:22.173690"}
[2026-04-09 09:14:22,202] [SUCCESS] - Audit: DELETE_MESSAGES | PSYCHOLOGIST: John (ID:2) | Details: {"patient_id": 11}
[2026-04-09 09:26:04,453] [INFO] - Registered 74 routes
[2026-04-09 09:26:04,453] [INFO] - Starting Psicouja Backend on http://0.0.0.0:8001
[2026-04-09 09:26:05,736] [INFO] - Firebase Admin SDK initialized successfully
[2026-04-09 09:26:05,737] [INFO] - Starting background scheduler...
[2026-04-09 09:26:14,384] [INFO] - Psychologist Login: admin@psicouja.com
[2026-04-09 09:26:14,395] [SUCCESS] - Audit: LOGIN | PSYCHOLOGIST: John (ID:2) | Details: Successful login
